LON,LAT,EDO,CLAVE,ESTACION,mar-22
-111.353889,26.009722,BCS,BLORETO,"BahÌa de Loreto, B.C.S. SMN*",0.0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0.0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.0
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.4
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.0
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0.0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",0.8
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.0
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.0
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.4
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0.0
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0.0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0.0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",0.0
-112.25,27.283333,BCS,STAROSALIAob,"Observatorio de Santa RosalÌa, B.C.S. SMN*",0.0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.0
-89.743889,20.003889,CAMP,BOLCA,"BolonchÈn, Camp.",145.9
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",11.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",44.5
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",72.8
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",10.0
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",6.0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",19.3
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",8.5
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",173.4
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",148.0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",80.8
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",55.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",15.0
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",139.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",6.0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",64.6
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",7.0
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",0.0
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",0.0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0.0
