LON,LAT,EDO,CLAVE,ESTACION,nov-22
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad AcuÒa, Coah. CILA*",14.8
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",13.6
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",10.2
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",24
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",14.01
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",21
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",0.2
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",1.2
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego JimÈnez, Coah. CILA*",24.5
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",5.53
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",23
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",2
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",11.58
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",11.05
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",2
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",1
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",1.42
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",2.2
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",0
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0.8
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",0
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",0
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",3.5
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",2
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",31.99
-99.188889,19.214722,DF,AJUSCO,"Ajusco, Cd. de MÈx. UNAM*",19.2
-99.08,19.465833,DF,ARAGON,"Conagua AragÛn, Cd. de MÈx. UNAM*",12.48
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de MÈx. UNAM*",18.59
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de MÈx. UNAM*",20.3
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",6.32
-99.059722,19.383889,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de MÈx. UNAM*",6.12
-99.140833,19.483333,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de MÈx. UNAM*",12.21
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",20.06
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",16.77
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",21.33
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",17
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",11.17
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",0
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",20.57
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",4.7
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",7.8
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",7.5
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",15.75
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de MÈx. UNAM*",24.22
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",10.37
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",14.1
-99.104722,19.282778,DF,CUEMANCO,"Cuemanco, Cd. de MÈx. UNAM*",6.98
-99.105,19.323333,DF,CULHUACAN,"Culhuac·n, Cd. de MÈx. UNAM*",15.55
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",5.08
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",12
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",44.45
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",18.03
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",43.94
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",10.15
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",20.57
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de MÈx.",7.6
-99.181944,19.329722,DF,IIUNAM,"Instituto de IngenierÌa, Cd. de MÈx. UNAM*",8.61
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de MÈx. UNAM*",12.44
-99.07,19.349722,DF,IZTAPALAPA,"Iztapalapa, Cd. de MÈx. UNAM*",7.44
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro RÌos El Moral, Cd. de MÈx.",0
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",1.75
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",21.08
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de MÈx. UNAM*",7.63
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de MÈx. UNAM*",6.15
-99.0175,19.196667,DF,MILPAALTA,"Milpa Alta, Cd. de MÈx. UNAM*",3.75
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",5.07
